p_n(x),n,i,x_i,w_i
P_n(x),9,5,0.324253423403811,0.312347077040332
P_n(x),9,6,0.613371432700601,0.260610696402416
P_n(x),9,7,0.836031107326636,0.180648160695632
P_n(x),9,8,0.968160239508005,0.081274388361093
P_n(x),10,0,-0.973906528517074,0.066671344308808
P_n(x),10,1,-0.865063366688984,0.149451349150395
P_n(x),10,2,-0.679409568299025,0.219086362516084
P_n(x),10,3,-0.43339539412925,0.26926671930994
P_n(x),10,4,-0.14887433898163,0.295524224714772
P_n(x),10,5,0.14887433898163,0.295524224714772
P_n(x),10,6,0.43339539412925,0.26926671930994
P_n(x),10,7,0.679409568299025,0.219086362516084
P_n(x),10,8,0.865063366688984,0.149451349150395
P_n(x),10,9,0.973906528517074,0.066671344308808
T_n(x),1,0,0.0,3.141592653589591
T_n(x),2,0,-0.707106781186548,1.570796326794789
T_n(x),2,1,0.707106781186548,1.570796326794789
T_n(x),3,0,-0.866025403784439,1.047197551196487
T_n(x),3,1,1.9e-14,1.047197551196696
T_n(x),3,2,0.866025403784439,1.047197551196464
T_n(x),4,0,-0.923879532511287,0.785398163397326
T_n(x),4,1,-0.38268343236509,0.785398163397465
T_n(x),4,2,0.38268343236509,0.785398163397465
T_n(x),4,3,0.923879532511287,0.785398163397327
T_n(x),5,0,-0.951056516295154,0.628318530717947
T_n(x),5,1,-0.587785252292472,0.628318530718028
T_n(x),5,2,5.8e-14,0.628318530717949
T_n(x),5,3,0.587785252292472,0.62831853071793
T_n(x),5,4,0.951056516295154,0.628318530717974
T_n(x),6,0,-0.965925826289068,0.523598775598303
T_n(x),6,1,-0.707106781186548,0.523598775598294
T_n(x),6,2,-0.258819045102521,0.523598775598295
T_n(x),6,3,0.258819045102521,0.523598775598302
T_n(x),6,4,0.707106781186548,0.523598775598294
T_n(x),6,5,0.965925826289068,0.523598775598303
T_n(x),7,0,-0.974927912181827,0.448798950511031
T_n(x),7,1,-0.78183148246803,0.448798950513284
T_n(x),7,2,-0.433883739117558,0.448798950512605
T_n(x),7,3,1.19e-13,0.448798950513129
T_n(x),7,4,0.433883739117558,0.448798950512385
T_n(x),7,5,0.78183148246803,0.448798950513372
T_n(x),7,6,0.974927912181827,0.448798950510978
T_n(x),8,0,-0.980785280403213,0.392699081697173
T_n(x),8,1,-0.831469612302581,0.392699081699041
T_n(x),8,2,-0.555570233019543,0.392699081698662
T_n(x),8,3,-0.195090322016128,0.392699081698636
T_n(x),8,4,0.195090322016128,0.392699081698633
T_n(x),8,5,0.555570233019543,0.392699081698662
T_n(x),8,6,0.831469612302581,0.392699081699042
T_n(x),8,7,0.980785280403213,0.3926990816972
T_n(x),9,0,-0.984807753012208,0.349065850397515
T_n(x),9,1,-0.866025403784439,0.349065850399383
T_n(x),9,2,-0.64278760968649,0.349065850398545
T_n(x),9,3,-0.342020143325669,0.349065850399181
T_n(x),9,4,2.07e-13,0.349065850398744
T_n(x),9,5,0.342020143325669,0.349065850398782
T_n(x),9,6,0.64278760968649,0.349065850398709
T_n(x),9,7,0.866025403784439,0.349065850399299
T_n(x),9,8,0.984807753012208,0.349065850397539
T_n(x),10,0,-0.987688340595138,0.314159265357711
T_n(x),10,1,-0.891006524188367,0.314159265359286
T_n(x),10,2,-0.707106781186562,0.314159265358927
T_n(x),10,3,-0.453990499739443,0.314159265359059
T_n(x),10,4,-0.156434465040229,0.314159265358889
T_n(x),10,5,0.156434465040229,0.314159265358889
T_n(x),10,6,0.453990499739443,0.314159265359059
T_n(x),10,7,0.707106781186562,0.314159265358927
T_n(x),10,8,0.891006524188367,0.314159265359281
T_n(x),10,9,0.987688340595138,0.314159265357719
L_n(x),1,0,1.0,1.0
L_n(x),2,0,0.585786437626905,0.853553390593274
L_n(x),2,1,3.414213562373095,0.146446609406726
L_n(x),3,0,0.415774556783481,0.711093009929184
L_n(x),3,1,2.294280360279116,0.278517733569231
L_n(x),3,2,6.289945082937492,0.010389256501585
L_n(x),4,0,0.322547689619564,0.603154104341733
L_n(x),4,1,1.74576110115835,0.357418692437669
L_n(x),4,2,4.536620296921131,0.038887908515029
L_n(x),4,3,9.395070912301309,0.000539294705562
L_n(x),5,0,0.263560319718142,0.521755610582811
L_n(x),5,1,1.413403059106519,0.398666811083176
L_n(x),5,2,3.596425771040755,0.075942449681716
L_n(x),5,3,7.085810005858845,0.003611758679916
L_n(x),5,4,12.640800844275784,2.3369972387e-05
L_n(x),6,0,0.222846604179262,0.458964673949977
L_n(x),6,1,1.188932101672743,0.417000830772152
L_n(x),6,2,2.992736326059797,0.113373382074004
L_n(x),6,3,5.775143569104511,0.010399197453145
L_n(x),6,4,9.837467418382584,0.000261017202815
L_n(x),6,5,15.982873980601678,8.98547905e-07
L_n(x),7,0,0.193043676560485,0.409318951701368
L_n(x),7,1,1.026664895339143,0.421831277861579
L_n(x),7,2,2.567876744950746,0.147126348657564
L_n(x),7,3,4.900353084526483,0.020633514468702
L_n(x),7,4,8.182153444562864,0.001074010143283
L_n(x),7,5,12.734180291797818,1.5865464348e-05
L_n(x),7,6,19.395727862262635,3.1703153e-08
L_n(x),8,0,0.170279632305102,0.369188589341638
L_n(x),8,1,0.903701776799378,0.418786780814342
L_n(x),8,2,2.251086629866131,0.175794986637173
L_n(x),8,3,4.26670017028766,0.033343492261215
L_n(x),8,4,7.045905402393474,0.002794536235226
L_n(x),8,5,10.758516010180989,9.0765087734e-05
L_n(x),8,6,15.74067864127799,8.48574672e-07
L_n(x),8,7,22.86313173688925,1.048001e-09
L_n(x),9,0,0.15232222773181,0.336126421797891
L_n(x),9,1,0.807220022741996,0.411213980424007
L_n(x),9,2,2.005135155619597,0.199287525370972
L_n(x),9,3,3.783473973331235,0.047460562765606
L_n(x),9,4,6.204956777876617,0.005599626610805
L_n(x),9,5,9.372985251687576,0.000305249767091
L_n(x),9,6,13.466236911092096,6.592123026e-06
L_n(x),9,7,18.833597788991682,4.1107684e-08
L_n(x),9,8,26.374071890927386,3.2909e-11
L_n(x),10,0,0.13779347054061,0.308441115765133
L_n(x),10,1,0.729454549503172,0.401119929155115
L_n(x),10,2,1.808342901740319,0.218068287611872
